ID                                    0x3a9f
Delivery_person_ID             JAPRES12DEL02
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                26.902908
Restaurant_longitude               75.792934
Delivery_location_latitude         27.032908
Delivery_location_longitude        75.922934
Order_Date                        18-03-2022
Time_Orderd                            19:15
Time_Order_picked                      19:30
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                 Yes
City                                   Urban
Time_taken (min)                   54.000000
Name: 14896, dtype: object
