ID                                    0xc7a6
Delivery_person_ID             AGRRES17DEL01
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                27.157772
Restaurant_longitude               78.047250
Delivery_location_latitude         27.167772
Delivery_location_longitude        78.057250
Order_Date                        13-02-2022
Time_Orderd                            11:40
Time_Order_picked                      11:50
Weather conditions                    Stormy
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                 Yes
City                                   Urban
Time_taken (min)                   47.000000
Name: 30936, dtype: object
