ID                                      0x4dd
Delivery_person_ID             BANGRES18DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                -12.913041
Restaurant_longitude               -77.683237
Delivery_location_latitude          13.023041
Delivery_location_longitude         77.793237
Order_Date                         08-03-2022
Time_Orderd                               NaN
Time_Order_picked                       18:50
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    27.000000
Name: 24647, dtype: object
