ID                                       0xa9c7
Delivery_person_ID                VADRES06DEL03
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   22.312790
Restaurant_longitude                  73.170283
Delivery_location_latitude            22.372790
Delivery_location_longitude           73.230283
Order_Date                           09-03-2022
Time_Orderd                               17:15
Time_Order_picked                         17:30
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      30.000000
Name: 19057, dtype: object
