ID                                    0xdfc5
Delivery_person_ID             KNPRES03DEL03
Delivery_person_Age                33.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                26.469003
Restaurant_longitude               80.316344
Delivery_location_latitude         26.529003
Delivery_location_longitude        80.376344
Order_Date                        17-02-2022
Time_Orderd                            20:40
Time_Order_picked                      20:55
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 14016, dtype: object
