ID                                    0xdb9e
Delivery_person_ID             AGRRES17DEL03
Delivery_person_Age                33.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                27.157772
Restaurant_longitude               78.047250
Delivery_location_latitude         27.297772
Delivery_location_longitude        78.187250
Order_Date                        14-02-2022
Time_Orderd                            20:20
Time_Order_picked                      20:30
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                 Yes
City                                   Urban
Time_taken (min)                   45.000000
Name: 15799, dtype: object
