ID                                        0x5b9b
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    21.000000
Delivery_person_Ratings                 4.700000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.464422
Delivery_location_longitude            85.442900
Order_Date                            31-03-2022
Time_Orderd                                21:15
Time_Order_picked                          21:30
Weather conditions                        Cloudy
Road_traffic_density                         Jam
Vehicle_condition                              1
Type_of_order                              Snack
Type_of_vehicle                          scooter
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       40.000000
Name: 14946, dtype: object
