ID                                      0x62be
Delivery_person_ID             COIMBRES09DEL02
Delivery_person_Age                  26.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.008638
Restaurant_longitude                 76.984311
Delivery_location_latitude           11.088638
Delivery_location_longitude          77.064311
Order_Date                          02-03-2022
Time_Orderd                              21:40
Time_Order_picked                        21:55
Weather conditions                       Sunny
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     13.000000
Name: 32063, dtype: object
