ID                                      0x15ea
Delivery_person_ID             COIMBRES15DEL03
Delivery_person_Age                  26.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.006686
Restaurant_longitude                 76.951736
Delivery_location_latitude           11.096686
Delivery_location_longitude          77.041736
Order_Date                          02-04-2022
Time_Orderd                              19:50
Time_Order_picked                        19:60
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   2.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     36.000000
Name: 22839, dtype: object
