ID                                    0x1ffa
Delivery_person_ID             MYSRES12DEL02
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                12.284747
Restaurant_longitude               76.625861
Delivery_location_latitude         12.414747
Delivery_location_longitude        76.755861
Order_Date                        02-03-2022
Time_Orderd                            17:20
Time_Order_picked                      17:25
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 13718, dtype: object
