ID                                       0x4ea2
Delivery_person_ID                MYSRES13DEL03
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   12.310972
Restaurant_longitude                  76.659264
Delivery_location_latitude            12.400972
Delivery_location_longitude           76.749264
Order_Date                           12-03-2022
Time_Orderd                               23:60
Time_Order_picked                         24:15
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      21.000000
Name: 7553, dtype: object
