ID                                    0xd1fb
Delivery_person_ID             ALHRES03DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                25.451517
Restaurant_longitude               81.832616
Delivery_location_latitude         25.491517
Delivery_location_longitude        81.872616
Order_Date                        11-02-2022
Time_Orderd                            15:20
Time_Order_picked                      15:30
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   26.000000
Name: 30786, dtype: object
