ID                                     0xbfde
Delivery_person_ID             AURGRES02DEL01
Delivery_person_Age                     36.00
Delivery_person_Ratings                  4.90
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.04
Delivery_location_longitude              0.04
Order_Date                         11-02-2022
Time_Orderd                             14:45
Time_Order_picked                       14:50
Weather conditions                     Cloudy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        27.00
Name: 15065, dtype: object
