ID                                    0xdbd9
Delivery_person_ID             KOCRES20DEL02
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                 9.979186
Restaurant_longitude               76.317361
Delivery_location_latitude          9.999186
Delivery_location_longitude        76.337361
Order_Date                        13-02-2022
Time_Orderd                             9:55
Time_Order_picked                      10:05
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   19.000000
Name: 17312, dtype: object
