ID                                    0xb2dc
Delivery_person_ID             VADRES08DEL02
Delivery_person_Age                    26.00
Delivery_person_Ratings                 4.70
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.08
Delivery_location_longitude             0.08
Order_Date                        06-04-2022
Time_Orderd                            23:35
Time_Order_picked                      23:40
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                                   Urban
Time_taken (min)                       21.00
Name: 12728, dtype: object
