ID                                       0x5ab5
Delivery_person_ID             COIMBRES010DEL03
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.400000
Restaurant_latitude                   11.003008
Restaurant_longitude                  76.975440
Delivery_location_latitude            11.093008
Delivery_location_longitude           77.065440
Order_Date                           12-03-2022
Time_Orderd                               21:30
Time_Order_picked                         21:35
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                    2.000000
Festival                                    Yes
City                                      Urban
Time_taken (min)                      40.000000
Name: 13276, dtype: object
