ID                                       0x7d17
Delivery_person_ID               JAPRES010DEL02
Delivery_person_Age                   21.000000
Delivery_person_Ratings                3.100000
Restaurant_latitude                   26.921411
Restaurant_longitude                  75.793604
Delivery_location_latitude            27.001411
Delivery_location_longitude           75.873604
Order_Date                           14-03-2022
Time_Orderd                               23:35
Time_Order_picked                         23:40
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      33.000000
Name: 24364, dtype: object
