ID                                        0x4b2
Delivery_person_ID                HYDRES12DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -17.429585
Restaurant_longitude                 -78.392621
Delivery_location_latitude            17.479585
Delivery_location_longitude           78.442621
Order_Date                           24-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         18:40
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 19022, dtype: object
