ID                                    0x5b3a
Delivery_person_ID             HYDRES07DEL03
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                17.424114
Restaurant_longitude               78.347554
Delivery_location_latitude         17.484114
Delivery_location_longitude        78.407554
Order_Date                        30-03-2022
Time_Orderd                            22:10
Time_Order_picked                      22:15
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   23.000000
Name: 27372, dtype: object
