ID                                    0xbef1
Delivery_person_ID             AGRRES13DEL02
Delivery_person_Age                50.000000
Delivery_person_Ratings             6.000000
Restaurant_latitude               -27.159795
Restaurant_longitude              -78.042990
Delivery_location_latitude         27.209795
Delivery_location_longitude        78.092990
Order_Date                        13-02-2022
Time_Orderd                              NaN
Time_Order_picked                      18:05
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   20.000000
Name: 15083, dtype: object
