ID                                      0x89f0
Delivery_person_ID             COIMBRES02DEL02
Delivery_person_Age                  24.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.022477
Restaurant_longitude                 76.995667
Delivery_location_latitude           11.102477
Delivery_location_longitude          77.075667
Order_Date                          29-03-2022
Time_Orderd                              22:60
Time_Order_picked                        23:05
Weather conditions                      Cloudy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     20.000000
Name: 29306, dtype: object
