ID                                       0xdb60
Delivery_person_ID               AURGRES15DEL01
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   19.878028
Restaurant_longitude                  75.317475
Delivery_location_latitude            19.888028
Delivery_location_longitude           75.327475
Order_Date                           17-02-2022
Time_Orderd                               10:35
Time_Order_picked                         10:40
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 2803, dtype: object
