ID                                    0x61ee
Delivery_person_ID             HYDRES13DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                17.431477
Restaurant_longitude               78.400350
Delivery_location_latitude         17.541477
Delivery_location_longitude        78.510350
Order_Date                        14-03-2022
Time_Orderd                            20:55
Time_Order_picked                      20:60
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   33.000000
Name: 43847, dtype: object
