ID                                       0xab64
Delivery_person_ID                MYSRES04DEL02
Delivery_person_Age                   24.000000
Delivery_person_Ratings                3.300000
Restaurant_latitude                   12.308500
Restaurant_longitude                  76.665808
Delivery_location_latitude            12.388500
Delivery_location_longitude           76.745808
Order_Date                           25-03-2022
Time_Orderd                               23:50
Time_Order_picked                         24:05
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      36.000000
Name: 20656, dtype: object
