ID                                       0x4d4e
Delivery_person_ID              COIMBRES18DEL03
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   11.020910
Restaurant_longitude                  76.940432
Delivery_location_latitude            11.110910
Delivery_location_longitude           77.030432
Order_Date                           16-03-2022
Time_Orderd                               21:30
Time_Order_picked                         21:45
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                    Yes
City                              Metropolitian
Time_taken (min)                      46.000000
Name: 31322, dtype: object
