ID                                        0x85d
Delivery_person_ID              COIMBRES06DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   11.021278
Restaurant_longitude                  76.995017
Delivery_location_latitude            11.151278
Delivery_location_longitude           77.125017
Order_Date                           10-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         23:25
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 41595, dtype: object
