ID                                     0xd5dc
Delivery_person_ID             AURGRES16DEL01
Delivery_person_Age                     31.00
Delivery_person_Ratings                  4.10
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.07
Delivery_location_longitude              0.07
Order_Date                         18-02-2022
Time_Orderd                             22:40
Time_Order_picked                       22:50
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        35.00
Name: 29601, dtype: object
