ID                                      0xbf1
Delivery_person_ID             INDORES14DEL02
Delivery_person_Age                 20.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 22.761593
Restaurant_longitude                75.886362
Delivery_location_latitude          22.781593
Delivery_location_longitude         75.906362
Order_Date                         19-03-2022
Time_Orderd                              8:55
Time_Order_picked                        9:05
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    15.000000
Name: 30928, dtype: object
