ID                                      0x65dd
Delivery_person_ID             PUNERES010DEL01
Delivery_person_Age                  21.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  18.539299
Restaurant_longitude                 73.897902
Delivery_location_latitude           18.649299
Delivery_location_longitude          74.007902
Order_Date                          04-03-2022
Time_Orderd                              18:15
Time_Order_picked                        18:20
Weather conditions                      Cloudy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     32.000000
Name: 8361, dtype: object
