ID                                       0xd9f5
Delivery_person_ID               AURGRES04DEL02
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   19.876106
Restaurant_longitude                  75.340775
Delivery_location_latitude            19.926106
Delivery_location_longitude           75.390775
Order_Date                           13-02-2022
Time_Orderd                               22:40
Time_Order_picked                         22:45
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      13.000000
Name: 16519, dtype: object
