ID                                    0xcd7f
Delivery_person_ID             KOLRES02DEL01
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                22.514585
Restaurant_longitude               88.393310
Delivery_location_latitude         22.554585
Delivery_location_longitude        88.433310
Order_Date                        17-02-2022
Time_Orderd                            12:45
Time_Order_picked                      12:55
Weather conditions                Sandstorms
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 16808, dtype: object
