ID                                       0xada6
Delivery_person_ID              COIMBRES03DEL03
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   11.025083
Restaurant_longitude                  77.015393
Delivery_location_latitude            11.115083
Delivery_location_longitude           77.105393
Order_Date                           23-03-2022
Time_Orderd                               22:30
Time_Order_picked                         22:35
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      31.000000
Name: 36706, dtype: object
