ID                                     0xcc75
Delivery_person_ID             AURGRES14DEL02
Delivery_person_Age                 33.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 19.875016
Restaurant_longitude                75.322405
Delivery_location_latitude          20.005016
Delivery_location_longitude         75.452405
Order_Date                         18-02-2022
Time_Orderd                             18:30
Time_Order_picked                       18:35
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    43.000000
Name: 22849, dtype: object
