ID                                    0xdee6
Delivery_person_ID             AGRRES08DEL02
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                27.160934
Restaurant_longitude               78.044095
Delivery_location_latitude         27.180934
Delivery_location_longitude        78.064095
Order_Date                        15-02-2022
Time_Orderd                            11:15
Time_Order_picked                      11:20
Weather conditions                     Windy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 23862, dtype: object
