ID                                    0x78cb
Delivery_person_ID             MUMRES12DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                19.207222
Restaurant_longitude               72.972281
Delivery_location_latitude         19.317222
Delivery_location_longitude        73.082281
Order_Date                        02-04-2022
Time_Orderd                            19:20
Time_Order_picked                      19:25
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   36.000000
Name: 19251, dtype: object
