ID                                    0x2c7d
Delivery_person_ID             MUMRES02DEL02
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                19.221315
Restaurant_longitude               72.862381
Delivery_location_latitude         19.241315
Delivery_location_longitude        72.882381
Order_Date                        19-03-2022
Time_Orderd                            11:25
Time_Order_picked                      11:40
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 1751, dtype: object
