ID                                     0x88f7
Delivery_person_ID             INDORES08DEL01
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 22.725748
Restaurant_longitude                75.898497
Delivery_location_latitude          22.765747
Delivery_location_longitude         75.938497
Order_Date                         24-03-2022
Time_Orderd                             15:45
Time_Order_picked                       15:50
Weather conditions                        Fog
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 31100, dtype: object
