ID                                       0xc905
Delivery_person_ID                KNPRES05DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   26.479108
Restaurant_longitude                  80.315042
Delivery_location_latitude            26.549108
Delivery_location_longitude           80.385042
Order_Date                           12-02-2022
Time_Orderd                               19:45
Time_Order_picked                         19:55
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 30263, dtype: object
