ID                                       0xdec7
Delivery_person_ID                KOCRES17DEL02
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.200000
Restaurant_latitude                    9.959778
Restaurant_longitude                  76.296106
Delivery_location_latitude            10.039778
Delivery_location_longitude           76.376106
Order_Date                           12-02-2022
Time_Orderd                               18:25
Time_Order_picked                         18:30
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      39.000000
Name: 7813, dtype: object
