ID                                       0xb8ec
Delivery_person_ID             RANCHIRES03DEL02
Delivery_person_Age                       28.00
Delivery_person_Ratings                    4.50
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.08
Delivery_location_longitude                0.08
Order_Date                           02-03-2022
Time_Orderd                               23:45
Time_Order_picked                         23:60
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                        0.00
Festival                                     No
City                                      Urban
Time_taken (min)                          11.00
Name: 12794, dtype: object
