ID                                       0xce2c
Delivery_person_ID                GOARES15DEL02
Delivery_person_Age                    23.00000
Delivery_person_Ratings                 4.20000
Restaurant_latitude                    15.51315
Restaurant_longitude                   73.78346
Delivery_location_latitude             15.59315
Delivery_location_longitude            73.86346
Order_Date                           14-02-2022
Time_Orderd                               17:10
Time_Order_picked                         17:25
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                     1.00000
Festival                                     No
City                              Metropolitian
Time_taken (min)                       33.00000
Name: 37845, dtype: object
