ID                                    0x6af0
Delivery_person_ID             HYDRES06DEL03
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                17.455894
Restaurant_longitude               78.375467
Delivery_location_latitude         17.515894
Delivery_location_longitude        78.435467
Order_Date                        01-03-2022
Time_Orderd                            19:30
Time_Order_picked                      19:35
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   49.000000
Name: 4806, dtype: object
