ID                                    0x89db
Delivery_person_ID             MUMRES20DEL03
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                19.103249
Restaurant_longitude               72.846749
Delivery_location_latitude         19.163249
Delivery_location_longitude        72.906749
Order_Date                        05-03-2022
Time_Orderd                            22:15
Time_Order_picked                      22:30
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 8268, dtype: object
