ID                                     0xc7c7
Delivery_person_ID             ALHRES010DEL03
Delivery_person_Age                     31.00
Delivery_person_Ratings                  5.00
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.06
Delivery_location_longitude              0.06
Order_Date                         15-02-2022
Time_Orderd                             17:15
Time_Order_picked                       17:20
Weather conditions                 Sandstorms
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                   No
City                                    Urban
Time_taken (min)                        31.00
Name: 27992, dtype: object
