ID                                       0xa4be
Delivery_person_ID                HYDRES04DEL03
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   17.411028
Restaurant_longitude                  78.329645
Delivery_location_latitude            17.441028
Delivery_location_longitude           78.359645
Order_Date                           13-03-2022
Time_Orderd                               17:50
Time_Order_picked                         17:55
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 7563, dtype: object
