ID                                    0xcdf6
Delivery_person_ID             BHPRES07DEL01
Delivery_person_Age                    34.00
Delivery_person_Ratings                 3.50
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.07
Delivery_location_longitude             0.07
Order_Date                        14-02-2022
Time_Orderd                            20:30
Time_Order_picked                      20:45
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                                   Urban
Time_taken (min)                       33.00
Name: 10882, dtype: object
