ID                                     0x9bd5
Delivery_person_ID             PUNERES12DEL01
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 18.520016
Restaurant_longitude                73.830547
Delivery_location_latitude          18.560016
Delivery_location_longitude         73.870547
Order_Date                         03-03-2022
Time_Orderd                             12:60
Time_Order_picked                       13:15
Weather conditions                        Fog
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    31.000000
Name: 32380, dtype: object
