ID                                      0x156a
Delivery_person_ID             COIMBRES18DEL02
Delivery_person_Age                  31.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.020910
Restaurant_longitude                 76.940432
Delivery_location_latitude           11.150910
Delivery_location_longitude          77.070432
Order_Date                          14-03-2022
Time_Orderd                              20:35
Time_Order_picked                        20:50
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     30.000000
Name: 33906, dtype: object
