ID                                       0xc204
Delivery_person_ID                KOCRES03DEL02
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   10.020683
Restaurant_longitude                  76.310631
Delivery_location_latitude            10.150683
Delivery_location_longitude           76.440631
Order_Date                           18-02-2022
Time_Orderd                               22:60
Time_Order_picked                         23:05
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      23.000000
Name: 17926, dtype: object
