ID                                     0xbf72
Delivery_person_ID             LUDHRES03DEL01
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 30.887220
Restaurant_longitude                75.804893
Delivery_location_latitude          30.927220
Delivery_location_longitude         75.844893
Order_Date                         13-02-2022
Time_Orderd                             15:35
Time_Order_picked                       15:40
Weather conditions                 Sandstorms
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    34.000000
Name: 27966, dtype: object
