ID                                      0x1bbb
Delivery_person_ID             COIMBRES09DEL03
Delivery_person_Age                  29.000000
Delivery_person_Ratings               4.300000
Restaurant_latitude                  11.008638
Restaurant_longitude                 76.984311
Delivery_location_latitude           11.098638
Delivery_location_longitude          77.074311
Order_Date                          31-03-2022
Time_Orderd                              19:10
Time_Order_picked                        19:15
Weather conditions                      Cloudy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     32.000000
Name: 43214, dtype: object
