ID                                      0x520a
Delivery_person_ID             CHENRES010DEL02
Delivery_person_Age                  29.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  13.066762
Restaurant_longitude                 80.251865
Delivery_location_latitude           13.116762
Delivery_location_longitude          80.301865
Order_Date                          28-03-2022
Time_Orderd                              22:55
Time_Order_picked                        23:05
Weather conditions                  Sandstorms
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     10.000000
Name: 36441, dtype: object
