ID                                       0x134a
Delivery_person_ID                SURRES13DEL03
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   21.170096
Restaurant_longitude                  72.789122
Delivery_location_latitude            21.200096
Delivery_location_longitude           72.819122
Order_Date                           03-03-2022
Time_Orderd                               21:45
Time_Order_picked                         21:60
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      28.000000
Name: 8881, dtype: object
