ID                                        0x6f54
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    32.000000
Delivery_person_Ratings                 4.700000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.484422
Delivery_location_longitude            85.462900
Order_Date                            29-03-2022
Time_Orderd                                21:60
Time_Order_picked                          22:15
Weather conditions                         Sunny
Road_traffic_density                         Jam
Vehicle_condition                              2
Type_of_order                             Buffet
Type_of_vehicle                          scooter
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       18.000000
Name: 39673, dtype: object
