ID                                    0xc48b
Delivery_person_ID             DEHRES01DEL01
Delivery_person_Age                    23.00
Delivery_person_Ratings                 4.50
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.07
Delivery_location_longitude             0.07
Order_Date                        14-02-2022
Time_Orderd                            21:50
Time_Order_picked                      22:05
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       22.00
Name: 20717, dtype: object
