ID                                        0x55c
Delivery_person_ID               CHENRES03DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   13.091809
Restaurant_longitude                  80.219104
Delivery_location_latitude            13.101809
Delivery_location_longitude           80.229104
Order_Date                           01-04-2022
Time_Orderd                                 NaN
Time_Order_picked                         11:05
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      17.000000
Name: 34421, dtype: object
