ID                                       0x902b
Delivery_person_ID             RANCHIRES14DEL01
Delivery_person_Age                       22.00
Delivery_person_Ratings                    4.80
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.04
Delivery_location_longitude                0.04
Order_Date                           05-04-2022
Time_Orderd                               13:50
Time_Order_picked                         14:05
Weather conditions                       Cloudy
Road_traffic_density                       High
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          20.00
Name: 17724, dtype: object
