ID                                      0x8dc7
Delivery_person_ID             COIMBRES16DEL03
Delivery_person_Age                  23.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.010375
Restaurant_longitude                 76.952950
Delivery_location_latitude           11.100375
Delivery_location_longitude          77.042950
Order_Date                          31-03-2022
Time_Orderd                              19:20
Time_Order_picked                        19:30
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     36.000000
Name: 3099, dtype: object
