ID                                     0xbc64
Delivery_person_ID             INDORES13DEL03
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 22.745049
Restaurant_longitude                75.892471
Delivery_location_latitude          22.805049
Delivery_location_longitude         75.952471
Order_Date                         17-03-2022
Time_Orderd                             18:25
Time_Order_picked                       18:40
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    23.000000
Name: 3070, dtype: object
