ID                                       0xc021
Delivery_person_ID                KNPRES11DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -26.474986
Restaurant_longitude                  80.342796
Delivery_location_latitude            26.584986
Delivery_location_longitude           80.452796
Order_Date                           16-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         19:60
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 21851, dtype: object
