ID                                       0xa4e5
Delivery_person_ID               CHENRES09DEL01
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   13.044694
Restaurant_longitude                  80.261470
Delivery_location_latitude            13.054694
Delivery_location_longitude           80.271470
Order_Date                           19-03-2022
Time_Orderd                                8:10
Time_Order_picked                          8:15
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 37239, dtype: object
