ID                                      0xdd6f
Delivery_person_ID             LUDHRES010DEL01
Delivery_person_Age                  39.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  30.892860
Restaurant_longitude                 75.822199
Delivery_location_latitude           30.902860
Delivery_location_longitude          75.832199
Order_Date                          15-02-2022
Time_Orderd                               9:55
Time_Order_picked                        10:10
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     25.000000
Name: 19272, dtype: object
