ID                                       0xe24d
Delivery_person_ID               GOARES010DEL03
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   15.546594
Restaurant_longitude                  73.760431
Delivery_location_latitude            15.606594
Delivery_location_longitude           73.820431
Order_Date                           15-02-2022
Time_Orderd                               19:10
Time_Order_picked                         19:20
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 9111, dtype: object
