ID                                    0xc7ac
Delivery_person_ID             KOCRES19DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                 9.960846
Restaurant_longitude               76.293936
Delivery_location_latitude         10.000846
Delivery_location_longitude        76.333936
Order_Date                        17-02-2022
Time_Orderd                            14:35
Time_Order_picked                      14:45
Weather conditions                Sandstorms
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   19.000000
Name: 22045, dtype: object
